temperature,vibration,rotation_speed,voltage,current,pressure,noise_level,efficiency,load_val,torque,maintenance_level,operating_mode,cooling_type,sensor_status,class_cat
77.4447468709883,3.55307524524964,1300.99142055971,234.701046608764,9.51674415662874,NaN,75.6549654206229,0.752001185802688,58.4569858506092,136.319784276385,High,Idle,Oil,OK,MechanicalFailure
71.4988053403481,1.56322080598501,1394.16672042148,209.929342191219,14.5757472678752,5.38188883188626,66.2465290640192,0.74446069758234,49.854723740996,104.112072683915,Medium,Overload,Oil,,ElectricalFailure
55.9449349753874,0.926859911868684,1371.80677177959,233.437478953589,NaN,NaN,65.4852188863816,0.886124023615506,49.4385866462124,101.823312507045,Medium,Overload,,OK,Normal
61.5975324050636,1.02600638777089,1430.32395727566,NaN,10.1518144949425,NaN,68.1483721527123,0.897037288828114,52.6202835414079,NaN,High,Overload,Oil,Warning,
54.6899915585824,1.2406459000766,1447.7909473022,227.618682550492,10.8698179838118,4.64670913632166,64.4580133594604,0.904091496848263,51.905238579478,109.137886235339,,Normal,Oil,Warning,Normal
51.2920897251709,0.848441831801136,1438.11157457063,233.133875901528,NaN,4.63973275987234,62.2385370400499,0.888028434625783,64.863724741156,100.708923333703,High,Normal,Oil,Warning,Normal
60.7911145332451,0.818525646005759,1492.90226353592,227.091417995225,10.7445651968462,4.80244978144162,57.4100450181348,0.91444757738252,47.6782966624754,105.748355787529,Medium,Overload,Air,Warning,Normal
65.5293444766977,3.10129810511857,1397.79471829984,235.557695044814,8.93574682312719,6.16745426220898,69.79946553497,0.739661816542077,73.7596877566726,142.800108545219,High,Idle,Oil,Warning,MechanicalFailure
NaN,NaN,1173.11979784701,230.332370608265,9.06666484306323,6.88062793944905,81.7357528903281,NaN,61.9103594803931,145.502656593056,,Normal,Air,Warning,MechanicalFailure
75.3524700648897,NaN,1347.4054694682,229.230356502461,10.170881213597,5.79844662708692,77.1488588586178,0.782687731341881,75.7288355796622,153.061434377267,High,Normal,Oil,Warning,MechanicalFailure
NaN,3.56734030931078,1455.03132496807,232.037976638553,11.1285606584807,7.03411763692761,73.5984972681269,0.785357476629914,64.9525151784356,146.525100089824,,Normal,Air,Warning,MechanicalFailure
66.0745802664841,NaN,1420.17141914576,227.654819909221,16.4828035810848,5.33716681763735,70.0176518247184,NaN,52.4101403721426,119.342092447743,,Normal,Oil,Warning,ElectricalFailure
62.8791404600765,1.09351325980431,1615.47720224674,232.108438557813,10.9683539835419,5.2186739541055,65.7062457164458,0.913242442202972,49.0465155185937,80.725608764706,Medium,Idle,,Warning,Normal
76.2439035772696,1.75904911219971,NaN,211.252589090416,16.574216016121,5.02672938321624,68.7756852220187,NaN,57.4641689639121,91.7467512024421,Medium,Overload,Oil,OK,ElectricalFailure
58.0877019696921,1.00175270759722,1338.02925489461,229.517591066427,8.49986681662076,4.50965266656092,70.5809268193994,NaN,52.0298771253357,96.7715909156961,High,Normal,Oil,Warning,Normal
